NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2015],
Abreu e Lima,2600054,abreu-limense,MARCOS JOS� DA SILVA,126.193,99622,748.29,97.2,0.679,15.74,154774,150392,13438.04,
Afogados da Ingazeira,2600104,afogadense,JOSE COIMBRA PATRIOTA FILHO,377.696,37111,92.90,97.3,0.657,12.25,84524,84200,9933.16,
Afrânio,2600203,afraniense,RAFAEL ANTONIO CAVALCANTI,1490.594,19456,11.80,98.7,0.588,16.39,48071,46131,7535.09,
Agrestina,2600302,agrestinense,THIAGO LUCENA NUNES,200.581,24702,112.58,96.4,0.592,14.04,61063,60315,8144.78,
Água Preta,2600401,�gua-pretense,EDUARDO PASSOS COUTINHO CORREA DE OLIVEI,533.336,36454,62.05,94,0.553,9.07,71554,66100,6181.19,
Águas Belas,2600500,�guas-belense,LUIZ AROLDO REZENDE DE LIMA,885.989,43195,45.41,96.1,0.526,13.07,84026,81990,6700.34,
Alagoinha,2600609,alagoinhense,UILAS LEAL DA SILVA,216.452,14554,63.16,96.3,0.599,11.49,37870,34349,7831.67,
Aliança,2600708,aliancense,XISTO LOUREN�O DE FREITAS NETO,272.133,38375,137.16,97,0.604,6.55,74883,78786,6922.46,
Altinho,2600807,altinense,ORLANDO JOS� DA SILVA,452.523,22959,49.18,96.9,0.598,16.74,41123,41919,5941.51,
Amaraji,2600906,amarajinense,RILDO REIS GOUVEIA,234.956,22788,93.37,96.6,0.580,20.77,49760,49201,7446.77,
Angelim,2601003,angelinense,MARCIO DOUGLAS CAVALCANTI DUARTE,118.037,11072,86.43,96.4,0.572,12.74,31575,28332,8642.05,
Araçoiaba,2601052,ara�oiabense,JOAMY ALVES DE OLIVEIRA,96.381,20312,188.38,97,0.592,12.74,42648,39742,5784.63,
Araripina,2601102,araripinense,JOS� RAIMUNDO PIMENTEL DO ESPIRITO SANTO,2037.391,83964,40.84,95.2,0.602,17.59,161989,154892,9143.71,
Arcoverde,2601201,arcoverdense,MARIA MADALENA SANTOS DE BRITTO,323.369,73844,196.05,97.3,0.667,11.23,147298,140071,11052.18,
Barra de Guabiraba,2601300,guabirabense,WILSON MADEIRO DA SILVA,120.286,14257,111.43,93.7,0.577,11.98,34559,33809,6060.30,
Barreiros,2601409,barreirense,ELIMARIO DE MELO FARIAS,233.379,42552,174.54,94.6,0.586,14.08,88085,98862,9298.54,
Belém de Maria,2601508,belenense,ROLPH EBER CASALE JUNIOR,75.142,12023,153.96,98.5,0.578,13.07,29444,27685,5271.03,
Belém do São Francisco,2601607,belenense,LICINIO ANTONIO LUSTOSA RORIZ,1830.797,20728,11.06,97.3,0.642,33.99,51511,53037,7727.18,
Belo Jardim,2601706,belo-jardinense,FRANCISCO H�LIO DE MELO SANTOS,647.697,76185,111.83,97.1,0.629,9.24,178710,157964,17175.93,
Betânia,2601805,betaniense,M�RIO GOMES FL�R FILHO,1244.074,12671,9.65,93.8,0.559,10.58,33228,30390,5526.28,
Bezerros,2601904,bezerrense,SEVERINO OT�VIO RAPOSO MONTEIRO,490.818,60714,119.53,95.9,0.606,14.44,111289,124513,10107.84,
Bodocó,2602001,bodocense,TULIO ALVES ALCANTARA,1621.784,37909,21.75,95.7,0.565,15.97,77843,74404,6165.84,
Bom Conselho,2602100,conselhense,DANNILO CAVALCANTE VIEIRA,792.044,48336,57.44,96.2,0.563,10.51,97387,105776,9061.67,
Bom Jardim,2602209,bom-jardinense,JOAO FRANCISCO DE LIRA,218.433,39132,169.49,97,0.602,6.26,72928,75332,6388.63,
Bonito,2602308,bonitense,GUSTAVO ADOLFO NEVES DE ALBUQUERQUE C�SA,389.976,38152,94.96,96.7,0.561,18.06,80127,83316,8344.73,
Brejão,2602407,brejonense,ELISABETH BARROS DE SANTANA,159.786,8999,55.35,96.3,0.547,-,28469,28432,10401.73,
Brejinho,2602506,brejinhense,TANIA MARIA DOS SANTOS,106.276,7486,68.75,98.2,0.574,-,25361,21767,6436.37,
Brejo da Madre de Deus,2602605,brejense,HILARIO PAULO DA SILVA,762.345,50249,59.26,95.6,0.562,21.37,93034,99286,6082.02,
Buenos Aires,2602704,buenairense,JOSE FABIO DE OLIVEIRA,93.187,13119,134.54,97.4,0.593,16.22,31631,28339,6233.87,
Buíque,2602803,buiquense,ARQUIMEDES GUEDES VALEN�A,1320.871,57825,39.18,94.7,0.527,19.36,104123,100810,6010.04,
Cabo de Santo Agostinho,2602902,cabense,LUIZ CABRAL DE OLIVEIRA FILHO,448.735,205112,412.33,96.5,0.686,14.88,824731,597762,39492.78,
Cabrobó,2603009,cabroboense,MARC�LIO RODRIGUES CAVALCANTI,1657.706,33934,18.62,97.6,0.623,21.09,74975,75912,9570.43,
Cachoeirinha,2603108,cachoeirinhense,IVALDO DE ALMEIDA,179.262,20258,104.98,95.3,0.579,21.46,45026,37628,8127.86,
Caetés,2603207,caeteense,ARMANDO DUARTE DE ALMEIDA,294.946,28570,80.66,92.6,0.522,4.87,60637,57618,6916.83,
Calçado,2603306,cal�adense,FRANCISCO EXPEDITO DA PAZ NOGUEIRA,121.945,11089,91.23,97.1,0.566,7.04,29909,30463,8344.06,
Calumbi,2603405,calumbiense,SANDRA DE CACIA PEREIRA DE MAGALHAES NOV,179.314,5753,31.50,95.3,0.571,-,21225,20122,6424.48,
Camaragibe,2603454,camaragibense,DEMOSTENES E SILVA MEIRA,51.257,156736,2818.46,97.4,0.692,13.3,281349,230504,8949.64,
Camocim de São Félix,2603504,camociense ou camocinense,GIORGE DO CARMO BEZERRA,72.476,18627,235.99,97,0.588,24.88,39320,36025,7610.20,
Camutanga,2603603,camutanguense,ARMANDO PIMENTEL DA ROCHA,37.517,8530,217.39,97.9,0.606,7.63,33112,30565,26329.84,
Canhotinho,2603702,canhotinhense,FELIPE PORTO DE BARROS WANDERLEY LIMA,423.168,24835,57.96,91.8,0.541,24.32,60821,55904,6939.66,
Capoeiras,2603801,capoeirense,LUCINEIDE ALMEIDA REINO,336.329,20048,58.26,96.5,0.549,13.89,48393,46000,7486.02,
Carnaíba,2603900,carnaibano,JOSE DE ANCHIETA GOMES PATRIOTA,427.802,19491,43.42,96.1,0.583,14.08,46405,41106,7042.93,
Carnaubeira da Penha,2603926,carnaubeirense,MANOEL JOSE DA SILVA,1004.667,12836,11.73,98.1,0.573,9.9,26786,28038,5199.87,
Carpina,2604007,carpinense,MANUEL SEVERINO DA SILVA,147.665,82872,516.51,95.5,0.680,10.89,141305,127646,14580.53,
Caruaru,2604106,caruaruense,RAQUEL TEIXEIRA LYRA,920.610,356872,342.07,94.9,0.677,12.03,669460,617694,17626.74,
Casinhas,2604155,casinhense,JOAO BARBOSA CAMELO NETO,115.868,14313,118.81,97.5,0.567,12.05,38794,35000,5308.28,
Catende,2604205,catendense,JOSIBIAS DARCY DE CASTRO CAVALCANTI,207.244,42434,182.49,95.2,0.609,11.8,83650,78663,6124.43,
Cedro,2604304,cedrense,ANTONIO INOC�NCIO LEITE,148.746,11722,72.45,95.5,0.615,6.45,32207,31746,6545.79,
Chã de Alegria,2604403,alegriense,TARCISO MASSENA PEREIRA DA SILVA,48.548,13428,255.50,97.1,0.604,9.26,29831,28530,9422.83,
Chã Grande,2604502,ch�-grandense,DIOGO ALEXANDRE GOMES NETO,84.848,21579,237.33,96.7,0.599,12.27,52045,52011,7771.55,
Condado,2604601,condadense,ANTONIO CASSIANO DA SILVA,89.645,26249,270.87,97.3,0.602,24.06,53884,51552,7402.20,
Correntes,2604700,correntense,EDIMILSON DA BAHIA DE LIMA GOMES,317.794,18144,53.00,93.1,0.536,18.52,59372,46523,7007.66,
Cortês,2604809,cortesense,JOS� REGINALDO MORAIS DOS SANTOS,101.316,12596,122.90,97.2,0.568,4.61,45572,44186,8258.59,
Cumaru,2604908,cumaruense,MARIANA MENDES DE MEDEIROS,292.232,11635,58.80,98.5,0.572,15.23,33412,32658,7325.89,
Cupira,2605004,cupirense,JOS� MARIA LEITE DE MACEDO,95.155,24041,221.58,97.3,0.592,12.66,49757,45975,9210.82,
Custódia,2605103,custodiense,EMMANUEL  FERNANDES DE FREITAS GOIS,1404.127,36841,24.11,97.1,0.594,13.13,75387,77920,9352.79,
Dormentes,2605152,dormentense,GEOMARCO COELHO DE SOUSA,1539.052,18734,11.00,97,0.589,12.35,48922,46111,8752.42,
Escada,2605202,escadense,LUCR�CIO JORGE GOMES PEREIRA  DA SILVA,342.201,68448,183.07,94.1,0.632,8.88,127669,130318,10561.92,
Exu,2605301,exuense,RAIMUNDO PINTO SARAIVA SOBRINHO,1336.788,31885,23.65,95.2,0.576,31.62,69256,66749,6581.24,
