ID_UNIDADE_GESTORA,CODIGOTCE,ESFERA,CODIGOMUNICIPIO,MUNICIPIO,ORGAO,SIGLA,SITUACAO,CNPJ,PODER,UNIFED,TipoPessoaJuridicaPublica,NATUREZA
1,001001,Municipal,P001,Abreu e Lima,Prefeitura Municipal de Abreu e Lima,PMAL,Ativa,08637373000180,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
2,001002,Municipal,P001,Abreu e Lima,Câmara Municipal de Abreu e Lima,CMAL,Ativa,08637381000126,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
3,002001,Municipal,P002,Afogados da Ingazeira,Prefeitura Municipal de Afogados da Ingazeira,PMAI,Ativa,10346096000106,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
4,002002,Municipal,P002,Afogados da Ingazeira,Câmara Municipal de Afogados da Ingazeira,CMAI,Ativa,11463163000127,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
5,002003,Municipal,P002,Afogados da Ingazeira,Autarquia Educacional de Afogados da Ingazeira,AEDAI,Ativa,11479037000160,Poder Executivo,PE,Não Vinculada,Autarquia
6,002004,Municipal,P002,Afogados da Ingazeira,Instituto de Previdência dos Servidores Municipais de Afogados da Ingazeira,IPSMAI,Ativa,07609181000105,Poder Executivo,PE,Não Vinculada,Autarquia
7,002005,Municipal,P002,Afogados da Ingazeira,Fundo Municipal de Saúde de Afogados da Ingazeira,FMSAI,Ativa,11308823000103,Poder Executivo,PE,Vinculada,Fundo Público
1297,002006,Municipal,P002,Afogados da Ingazeira,Fundo Municipal de Educação de Afogados da Ingazeira,FMEAI,Ativa,13069525000125,Poder Executivo,PE,Vinculada,Fundo Público
1366,002007,Municipal,P002,Afogados da Ingazeira,Fundo Municipal de Assistência Social de Afogados da Ingazeira,FMASAI,Ativa,13568932000187,Poder Executivo,PE,Vinculada,Fundo Público
1626,002008,Municipal,P002,Afogados da Ingazeira,Consórcio de Integração dos Municipios do Pajeú,CIMPAJEU,Ativa,08915880000138,Poder Executivo,PE,Não Vinculada,Consórcio
1266,003004,Municipal,P003,Afrânio,Fundo Municipal de Assistência Social de Afrânio,FMAS,Ativa,06111889000160,Poder Executivo,PE,Vinculada,Fundo Público
