ano;mes;mes_nome;orgao_codigo;orgao_nome;unidade_codigo;unidade_nome;fonte_recurso_codigo;fonte_recurso_nome;categoria_receita_codigo;categoria_receita_nome;fonte_origem_receita_codigo;fonte_origem_receita_nome;subfonte_receita_codigo;subfonte_receita_nome;rubrica_receita_codigo;rubrica_receita_nome;alinea_receita_codigo;alinea_receita_nome;subalinea_receita_codigo;subalinea_receita_nome;receita_local_codigo;receita_local_nome;receita_prevista;receita_prevista_acrescimo;receita_prevista_atualizada;receita_arrecadada
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;2;RECEITAS DE VALORES MOBILIARIOS;2;DIVIDENDOS;00;DIVIDENDOS;00;DIVIDENDOS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;1000,00;0,00;1000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;3;TRANSFERENCIAS DE INSTITUICOES PRIVADAS;0;TRANSFERENCIAS DE INSTITUICOES PRIVADAS;00;TRANSFERENCIAS DE INSTITUICOES PRIVADAS;00;TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;6816000,00;0,00;6816000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0103;OPERAÇÕES DE CRÉDITO;1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;2;RECEITAS DE VALORES MOBILIARIOS;5;RENUMERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;347000,00;0,00;347000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0115;SAÚDE - VIGILÂNCIA SANITÁRIA;1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;2;RECEITAS DE VALORES MOBILIARIOS;5;RENUMERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;52000,00;0,00;52000,00;0,00
2017;11;Novembro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0117;TRANSFERÊNCIAS DO FDS;1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;2;RECEITAS DE VALORES MOBILIARIOS;5;RENUMERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;0,00;7000,00;7000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0122;RECURSOS PARA MODERNIZAÇÃO ADMINISTRATIVA;1;RECEITAS CORRENTES;3;RECEITA PATRIMONIAL;2;RECEITAS DE VALORES MOBILIARIOS;5;RENUMERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;50000,00;0,00;50000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;2;TRANSFERENCIAS DOS ESTADOS;01;PARTICIPAÇÃO NA RECEITA DO ESTADO;01;COTA-PARTE DO ICMS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;799700000,00;0,00;799700000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;9;DEDUÇÕES DA RECEITA CORRENTE;7;DEDUÇÕES DAS RECEITAS DE TRANSFERÊNCIAS;2;DEDUÇÕES DAS RECEITAS DE TRANSFERÊNCIAS;2;DEDUÇÃO DAS RECEITAS DE TRANSFERÊNCIAS DOS ESTADOS;01;DEDUÇÃO DAS RECEITAS DE TRANSFERÊNCIAS DOS ESTADOS;01;DEDUÇÃO DE RECEITA PARA FORMAÇÃO DO FUNDEB - ICMS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;-159940000,00;0,00;-159940000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0113;TRANSFERÊNCIAS DO FUNDEB;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;4;TRANSFERÊNCIAS DO FUNDEB;01;TRANSFERÊNCIAS DO FUNDEB;03;TRANSFERÊNCIAS DO FUNDEB - ICMS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;131722000,00;0,00;131722000,00;0,00
2017;12;Dezembro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0113;TRANSFERÊNCIAS DO FUNDEB;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;4;TRANSFERÊNCIAS DO FUNDEB;01;TRANSFERÊNCIAS DO FUNDEB;03;TRANSFERÊNCIAS DO FUNDEB - ICMS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;0,00;2186381,64;2186381,64;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0113;TRANSFERÊNCIAS DO FUNDEB;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;4;TRANSFERÊNCIAS DO FUNDEB;01;TRANSFERÊNCIAS DO FUNDEB;04;TRANSFERÊNCIAS DO FUNDEB - IPI EXPORTAÇÃO;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;360000,00;0,00;360000,00;0,00
2017;12;Dezembro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0113;TRANSFERÊNCIAS DO FUNDEB;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;4;TRANSFERÊNCIAS DO FUNDEB;01;TRANSFERÊNCIAS DO FUNDEB;06;TRANSFERÊNCIAS DO FUNDEB - IPVA;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;0,00;1144779,81;1144779,81;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0113;TRANSFERÊNCIAS DO FUNDEB;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;4;TRANSFERÊNCIAS DO FUNDEB;01;TRANSFERÊNCIAS DO FUNDEB;07;TRANSFERÊNCIAS DO FUNDEB - ITCD;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;1282000,00;0,00;1282000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0102;CONVÊNIOS E ACORDOS A FUNDO PERDIDO (PREFEITURA RECIFE);1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;6;TRANSFERÊNCIA DE CONVENIOS;1;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES;02;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO DESTINADAS A PROGRAMAS DE EDUCAÇÃO;00;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO DESTINADAS A PROGRAMAS DE EDUCAÇÃO;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;2814000,00;0,00;2814000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0115;SAÚDE - VIGILÂNCIA SANITÁRIA;1;RECEITAS CORRENTES;1;RECEITA TRIBUTÁRIA;2;TAXAS;1;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;17;TAXA DE FISCALIZAÇÃO E VIGILÂNCIA SANITÁRIA - TVS;00;TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA - TVS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;10727000,00;0,00;10727000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;6;RECEITA DE SERVIÇOS;0;RECEITA DE SERVIÇOS;0;RECEITA DE SERVIÇOS;19;SERVICOS RECREATIVOS E CULTURAIS;00;SERVIÇOS RECREATIVOS E CULTURAIS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;5000,00;0,00;5000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0124;MEIO AMBIENTE;1;RECEITAS CORRENTES;1;RECEITA TRIBUTÁRIA;2;TAXAS;1;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;21;TAXA DE CONTROLE E FISCALIZAÇÃO AMBIENTAL;02;TAXA DE APREENSÃO DE EQUIPAMENTOS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;1000,00;0,00;1000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;1;RECEITA TRIBUTÁRIA;2;TAXAS;1;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;29;TAXA DE LICENÇA PARA EXECUÇÃO DE OBRAS;00;TAXA DE LICENÇA PARA EXECUÇÃO DE OBRAS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;3681000,00;0,00;3681000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0104;TRANSFERÊNCIAS DO FNDE;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;1;TRANSFERENCIAS DA UNIAO;35;DESENVOLVIMENTO DA EDUCAÇÃO - FNDE;03;TRANSFERÊNCIAS DIRETAS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;10696000,00;0,00;10696000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0115;SAÚDE - VIGILÂNCIA SANITÁRIA;1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;1;MULTAS E JUROS DE MORA;1;MULTAS E JUROS DE MORA DOS TRIBUTOS;35;MULTAS E JUROS DE MORA DA TAXA DE FISCALIZAÇÃO E VIGILÂNCIA SANITÁRIA - TVS;00;MULTAS E JUROS DE MORA DA TAXA DE FISCALIZAÇÃO E VIGILÂNCIA SANITÁRIA - TVS;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;101000,00;0,00;101000,00;0,00
2017;10;Outubro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0124;MEIO AMBIENTE;1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;1;MULTAS E JUROS DE MORA;9;MULTAS DE OUTRAS ORIGENS;35;MULTAS POR DANOS AO MEIO AMBIENTE;00;MULTAS POR DANOS AO MEIO AMBIENTE;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;0,00;100000,00;100000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;1;MULTAS E JUROS DE MORA;1;MULTAS E JUROS DE MORA DOS TRIBUTOS;38;MULTAS E JUROS DE MORA DO IMPOSTO SOBRE A PROPRIEDADE TERRITÓRIAL URBANA - IPTU;00;MULTAS E JUROS DE MORA DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - IPTU;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;5812000,00;0,00;5812000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;1;MULTAS E JUROS DE MORA;1;MULTAS E JUROS DE MORA DOS TRIBUTOS;39;MULTAS E JUROS DE MORA DO IMPOSTO SOBRE A TRANSFERÊNCIA E BENS IMÓVEIS - ITBI;00;MULTAS E JUROS DE MORA DO IMPOSTO SOBRE A TRANSMISSÃO INTER-VIVOS DE BENS IMÓVEIS - ITBI;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;2000,00;0,00;2000,00;0,00
2017;7;Julho;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;6;RECEITA DE SERVIÇOS;0;RECEITA DE SERVIÇOS;0;RECEITA DE SERVIÇOS;46;SERVIÇOS DE CEMITÉRIO;00;SERVIÇOS DE CEMITÉRIO;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;0,00;500000,00;500000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0119;RECURSOS DO STCP;1;RECEITAS CORRENTES;1;RECEITA TRIBUTÁRIA;2;TAXAS;1;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;55;TAXA PELO CADASTRAMENTO DO VEÍCULO - STCP;00;TAXA PELO CADASTRAMENTO DO VEÍCULO - STCP;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;10000,00;0,00;10000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0132;RECURSOS PARA A DEFESA DOS DIREITOS DO CONSUMIDOR;1;RECEITAS CORRENTES;9;OUTRAS RECEITAS CORRENTES;1;MULTAS E JUROS DE MORA;9;MULTAS DE OUTRAS ORIGENS;72;MULTAS PREVISTAS POR INFRAÇÕES À LEGISLAÇÃO DE DEFESA DO CONSUMIDOR;00;MULTAS PREVISTAS POR INFRAÇÕES À LEGISLAÇÃO DE DEFESA DO CONSUMIDOR;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;1010000,00;0,00;1010000,00;0,00
2017;1;Janeiro;15;SECRETARIA DE FINANÇAS;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA;0100;RECURSOS ORDINÁRIOS - NÃO VINCULADOS;1;RECEITAS CORRENTES;7;TRANSFERÊNCIAS CORRENTES;2;TRANSFERENCIAS INTERGOVERNAMENTAIS;1;TRANSFERENCIAS DA UNIAO;99;OUTRAS TRANSFERÊNCIAS DA UNIÃO;00;OUTRAS TRANSFERÊNCIAS DA UNIÃO;0000;SEM PREVISÃO INICIAL PARA ESSA CLASSIFICAÇÃO;2604000,00;0,00;2604000,00;0,00
