Bairro Total 1/4salário 1/4a1/2salário 1/2a1salário 1a2salário 2a3salário 3a5salário 5salario 0salario
Aflitos                 1.937     14      22      67     167     224     449      882     112
Afogados               11.072   1.151   2.330   3.456   2.200    687     418      187     642
Água Fria              12.294   1.877   3.519   3.859   1.710    369     186       91     683
Alto do Mandu           1.351    111     297     457     277      78      39       53      39
Alto José Bonifácio     3.570    515    1.055   1.078    384      51      18        5     464
Alto José do Pinho      3.510    432    1.003   1.298    427      68      39        6     237
Alto Santa Teresinha    2.157    404     692     664     191      25      17        3     161
Apipucos                 991     139     264     310     126      25      32       63      32
Areias                  9.129    763    1.636   2.486   2.188    877     537      239     402
Arruda                  4.467    366     701    1.128   1.089    488     358      195     142
Barro                   9.397   1.305   2.601   2.812   1.404    386     243      114     532
Beberibe                2.586    418     752     793     336      55      39        6     187
Boa Viagem             42.272    891    2.173   3.959   5.483   4.745   7.720   15.657  1.639
Boa Vista               5.999     45     224     850    1.427    985    1.039    1.127    301
Bomba do Hemetério      2.350    318     604     803     331      82      45       23     144
Bongi                   2.345    299     550     682     412     111     120       83      88
Brasília Teimosa        5.464    623    1.444   1.989    916     172      82       33     205
Brejo da Guabiraba      3.426    615    1.067   1.090    316      51      16       31     240
Brejo de Beberibe       2.459    446     738     772     300      35      25       21     122
Cabanga                  506      47      93     150     118      42      37       15       4
Cajueiro                1.902    127     255     468     480     212     207      100      53
Campina do Barreto      2.833    455     783     929     404      99      41       22     100
Campo Grande            9.554   1.150   1.953   2.528   1.636    757     681      484     365
Casa Amarela            9.296    352    1.051   2.055   1.766    929    1.097    1.746    300
Casa Forte              2.192      9      29      86     183     153     386     1.318     28
Caxangá                 2.863    296     554     741     558     235     170      134     175
Caçote                  3.067    523     890    1.014    377      72      54       20     117
Cidade Universitária     222      25      41      72      56      15       7        5       1
Coelhos                 2.322    458     698     729     202      38      15       20     162
Cohab                  19.534   2.571   5.481   6.571   2.835    529     237      150   1.160
Coqueiral               3.281    430     910    1.106    462      88      26        8     251
Cordeiro               12.797    811    1.764   2.909   2.759   1.521   1.480    1.031    522
Córrego do Jenipapo     2.732    401     780     899     322      41      31       23     235
Curado                  4.900    720    1.309   1.442    782     187     126       47     287
Derby                    656       4      22      38      53      84     147      277      31
Dois Irmãos              737      91     189     217     109      26      28       38      39
Dois Unidos             9.374   1.678   3.066   2.779    927     125      55       19     724
Encruzilhada            4.008     50     131     395     752     667     805     1.157     51
Engenho do Meio         3.053    142     418     834     825     343     262      166      63
Espinheiro              3.602     41     115     229     386     423     712     1.521    174
Estância                2.822    368     668     895     504     151     103       46      87
Fundão                  2.495    252     555     809     487     171     101       58      62
Graças                  7.015     33     107     231     520     688    1.551    3.665    220
Guabiraba               1.779    316     610     519     163      42      27       28      74
